Circuit: * D:\Code\PSPICE\Schematic\integrator.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +++to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +++to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00529701 +to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 +to 0.00529701
Heightened Def Con from 0.00529701 +to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 +to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 +to 0.00529701
Heightened Def Con from 0.00529701 ++to 0.00529701
Heightened Def Con from 0.00529701 +to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 +to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 +to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 +to 0.00529701
Heightened Def Con from 0.00529701 +to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 ++to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 to 0.00529701
Heightened Def Con from 0.00529701 +++++++++++++++to 0.00529701
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 ++to 0.00531819
Heightened Def Con from 0.00531819 ++to 0.00531819
Heightened Def Con from 0.00531819 +++to 0.00531819
Heightened Def Con from 0.00531819 ++++to 0.00531819
Heightened Def Con from 0.00531819 +to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 +to 0.00531819
Heightened Def Con from 0.00531819 +to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 +to 0.00531819
Heightened Def Con from 0.00531819 ++to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 to 0.00531819
Heightened Def Con from 0.00531819 +++++++++++++++++++++to 0.0053182
Heightened Def Con from 0.00533415 +to 0.00533415
Heightened Def Con from 0.00533415 +to 0.00533415
Heightened Def Con from 0.00533415 to 0.00533415
Heightened Def Con from 0.00533415 to 0.00533415
Heightened Def Con from 0.00533415 to 0.00533415
Heightened Def Con from 0.00533415 to 0.00533415
Heightened Def Con from 0.00535516 to 0.00535516
Heightened Def Con from 0.00535516 +to 0.00535516
Heightened Def Con from 0.00535516 to 0.00535516
Heightened Def Con from 0.00535516 to 0.00535516
Heightened Def Con from 0.00535516 to 0.00535516
Heightened Def Con from 0.00535516 ++to 0.00535516
Heightened Def Con from 0.00535516 ++to 0.00535516
Heightened Def Con from 0.00535516 ++++to 0.00535516
Heightened Def Con from 0.00535516 to 0.00535516
Heightened Def Con from 0.00535516 to 0.00535516
Heightened Def Con from 0.00535516 to 0.00535516
Heightened Def Con from 0.00535516 to 0.00535516
Heightened Def Con from 0.00535516 +++to 0.00535516
Heightened Def Con from 0.00535516 to 0.00535516
Heightened Def Con from 0.00535516 +to 0.00535516
Heightened Def Con from 0.00535516 to 0.00535516
Heightened Def Con from 0.00535516 ++++++to 0.00535516
Heightened Def Con from 0.00537109 to 0.00537109
Heightened Def Con from 0.00537109 to 0.00537109
Heightened Def Con from 0.00537109 to 0.00537109
Heightened Def Con from 0.00537109 ++++++++++++++++to 0.00537109
Heightened Def Con from 0.00539228 to 0.00539228
Heightened Def Con from 0.00539228 +++++to 0.00539228
Heightened Def Con from 0.00539228 to 0.00539228
Heightened Def Con from 0.00539228 to 0.00539228
Heightened Def Con from 0.00539228 to 0.00539228
Heightened Def Con from 0.00539228 +to 0.00539228
Heightened Def Con from 0.00539228 to 0.00539228
Heightened Def Con from 0.00539228 +to 0.00539228
Heightened Def Con from 0.00539228 +++++++++++++++++to 0.00539228
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00540823 ++++to 0.00540823
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00540823 ++to 0.00540823
Heightened Def Con from 0.00540823 +to 0.00540823
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00540823 ++to 0.00540823
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00540823 +++to 0.00540823
Heightened Def Con from 0.00540823 to 0.00540823
Heightened Def Con from 0.00542942 to 0.00542942
Heightened Def Con from 0.00542942 +to 0.00542942
Heightened Def Con from 0.00542942 to 0.00542942
Heightened Def Con from 0.00542942 to 0.00542942
Heightened Def Con from 0.00542942 +to 0.00542942
Heightened Def Con from 0.00542942 to 0.00542942
Heightened Def Con from 0.00542942 to 0.00542942
Heightened Def Con from 0.00542942 +++++++to 0.00542942
